,0,standard_buses
43,12905.97519264,5.0
43,12905.97519264,5.0
43,12905.97519264,5.0
43,12905.97519264,5.0
43,12905.97519264,5.0
44,5146.9366655600015,3.0
44,5146.9366655600015,3.0
44,5146.9366655600015,3.0
45,4883.030625319999,3.0
45,4883.030625319999,3.0
45,4883.030625319999,3.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
46,79117.973125,62.0
47,603.6704630759999,6.0
47,603.6704630759999,6.0
47,603.6704630759999,6.0
47,603.6704630759999,6.0
47,603.6704630759999,6.0
47,603.6704630759999,6.0
48,12763.78679892,6.0
48,12763.78679892,6.0
48,12763.78679892,6.0
48,12763.78679892,6.0
48,12763.78679892,6.0
48,12763.78679892,6.0
49,12763.78679892,4.0
49,12763.78679892,4.0
