route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses
CTA_160,160,CTA_160_O,Saqr Quraish,Abd Al Moneim Riad-Saqr Quraish,0,CTA,8117.0,Abd Al Moneim Riad,15.82354808981007,3.0,7535.022899909556,3.0,3.0
CTA_166,166,CTA_166_O,Attaba,Bulaq Al Dakrur-Attaba,0,CTA,3114.0,Bulaq Al Dakrur,9.545311456663644,3.0,4545.386407935068,4.0,4.0
CTA_166,166,CTA_166_R,Bulaq Al Dakrur,Attaba-Bulaq Al Dakrur,1,CTA,3114.0,Attaba,8.941131693120555,3.0,4257.681758628835,4.0,4.0
CTA_17-17G-923,17-17G-923,CTA_17-17G-923_O,Moneeb,Basateen-Moneeb,0,CTA,1921.0,Basateen,20.380368502813567,3.0,9704.937382292173,12.0,12.0
CTA_17-17G-923,17-17G-923,CTA_17-17G-923_R,Basateen,Moneeb-Basateen,1,CTA,1921.0,Moneeb,22.589030184550268,3.0,10756.681040262032,14.0,12.0
CTA_170,170,CTA_170_O,Mamaleek (Manial),Abou Wafya-Mamaleek (Manial),0,CTA,2555.0,Abou Wafya,13.422486017245047,3.0,6391.660008211928,6.0,6.0
CTA_170,170,CTA_170_R,Abou Wafya,Mamaleek (Manial)-Abou Wafya,1,CTA,2555.0,Mamaleek (Manial),14.065434969471298,3.0,6697.826175938713,7.0,6.0
CTA_173SS,173SS,CTA_173SS_R,Lebanon Square,Ahmed Helmy-Lebanon Square,1,CTA,3055.0,Ahmed Helmy,11.402090028758796,3.0,5429.566680361331,5.0,5.0
CTA_173SS,173SS,CTA_173SS_O,Ahmed Helmy,Lebanon Square-Ahmed Helmy,0,CTA,3055.0,Lebanon Square,10.989451649427394,3.0,5233.072214013045,5.0,5.0
CTA_175-1125,175-1125,CTA_175-1125_O,Warraq Al Arab,Abbasseya-Warraq Al Arab,0,CTA,922.0,Abbasseya,18.538699833272762,3.0,8827.952301558458,23.0,23.0
CTA_175-1125,175-1125,CTA_175-1125_R,Abbasseya,Warraq Al Arab-Abbasseya,1,CTA,922.0,Warraq Al Arab,18.542806163640325,3.0,8829.907696971582,23.0,23.0
CTA_186,186,CTA_186_O,Bulaq Al Dakrur,Darassa-Bulaq Al Dakrur,0,CTA,5076.0,Darassa,13.50265759271651,3.0,6429.8369489126235,3.0,3.0
CTA_186,186,CTA_186_R,Darassa,Bulaq Al Dakrur-Darassa,1,CTA,5076.0,Bulaq Al Dakrur,13.201048689419133,3.0,6286.213661628158,3.0,3.0
CTA_190-1117,190-1117,CTA_190-1117_O,Imbaba,Darassa-Imbaba,0,CTA,5663.0,Darassa,18.532870124393746,3.0,8825.176249711307,4.0,4.0
CTA_190-1117,190-1117,CTA_190-1117_R,Darassa,Imbaba-Darassa,1,CTA,5663.0,Imbaba,15.3887955445682,3.0,7327.997878365809,4.0,4.0
CTA_2,2,CTA_2_O,Qism El Hadayek,AUC-Qism El Hadayek,0,CTA,3654.0,AUC,34.29759781253022,7.0,16332.189434538199,11.0,11.0
CTA_2,2,CTA_2_R,AUC,Qism El Hadayek-AUC,1,CTA,3654.0,Qism El Hadayek,38.48873734805281,7.0,18327.970165739433,12.0,11.0
CTA_20,20,CTA_20_R,Abageyah,Imbaba-Abageyah,1,CTA,3777.0,Imbaba,15.779839039509405,3.0,7514.20906643305,5.0,5.0
CTA_20,20,CTA_20_O,Imbaba,Abageyah-Imbaba,0,CTA,3777.0,Abageyah,17.728403179816176,3.0,8442.096752293417,6.0,5.0
CTA_2001,2001,CTA_2001_O,Moassasa,Abou Al Houl-Moassasa,0,CTA,2026.0,Abou Al Houl,26.829866572147974,5.0,12776.126939118083,15.0,15.0
CTA_2001,2001,CTA_2001_R,Abou Al Houl,Moassasa-Abou Al Houl,1,CTA,2026.0,Moassasa,30.80743457044015,5.0,14670.206938304833,18.0,15.0
CTA_2002,2002,CTA_2002_O,Moassasa,Tagneed (Hadabet Al Haram)-Moassasa,0,CTA,7673.0,Tagneed (Hadabet Al Haram),36.98317164833494,5.0,17611.03411825473,6.0,5.0
CTA_2002,2002,CTA_2002_R,Tagneed (Hadabet Al Haram),Moassasa-Tagneed (Hadabet Al Haram),1,CTA,7673.0,Moassasa,31.118114267488426,5.0,14818.149651184964,5.0,5.0
CTA_203,203,CTA_203_R,Bulaq Al Dakrur,Om Bayoumi-Bulaq Al Dakrur,1,CTA,7810.0,Om Bayoumi,19.64273834719865,3.0,9353.684927237453,3.0,3.0
CTA_203,203,CTA_203_O,Om Bayoumi,Bulaq Al Dakrur-Om Bayoumi,0,CTA,7810.0,Bulaq Al Dakrur,20.840122886900208,3.0,9923.86804138105,4.0,3.0
CTA_204,204,CTA_204_R,Abbasseya,Khosous-Abbasseya,1,CTA,3913.0,Khosous,22.204182003599552,3.0,10573.420001714072,7.0,6.0
CTA_204,204,CTA_204_O,Khosous,Abbasseya-Khosous,0,CTA,3913.0,Abbasseya,18.661706422514207,3.0,8886.526867863908,6.0,6.0
CTA_208,208,CTA_208_R,Abbasseya,Moassasa-Abbasseya,1,CTA,4989.0,Moassasa,16.60378959020413,3.0,7906.566471525776,4.0,4.0
CTA_208,208,CTA_208_O,Moassasa,Abbasseya-Moassasa,0,CTA,4989.0,Abbasseya,19.261047222473774,3.0,9171.927248797036,5.0,4.0
CTA_211,211,CTA_211_O,Qalyoub,Abd Al Moneim Riad-Qalyoub,0,CTA,3542.0,Abd Al Moneim Riad,20.984927526148144,3.0,9992.822631499117,7.0,7.0
CTA_211,211,CTA_211_R,Abd Al Moneim Riad,Qalyoub-Abd Al Moneim Riad,1,CTA,3542.0,Qalyoub,20.944650899879807,3.0,9973.643285657052,7.0,7.0
CTA_235,235,CTA_235_O,Moassasa,Qalaa-Moassasa,0,CTA,3741.0,Qalaa,17.624238416760868,3.0,8392.494484171842,6.0,5.0
CTA_235,235,CTA_235_R,Qalaa,Moassasa-Qalaa,1,CTA,3741.0,Moassasa,15.133299758813633,3.0,7206.333218482682,5.0,5.0
CTA_24,24,CTA_24_O,Moassasa,Attaba-Moassasa,0,CTA,5926.0,Attaba,11.497231616434732,3.0,5474.872198302253,3.0,2.0
CTA_24,24,CTA_24_R,Attaba,Moassasa-Attaba,1,CTA,5926.0,Moassasa,10.184810178131269,3.0,4849.909608633938,2.0,2.0
CTA_24S,24S,CTA_24S_O,Ibrahim Bek,Abd Al Moneim Riad-Ibrahim Bek,0,CTA,2004.0,Abd Al Moneim Riad,14.26631847517383,3.0,6793.484988178014,9.0,8.0
CTA_24S,24S,CTA_24S_R,Abd Al Moneim Riad,Ibrahim Bek-Abd Al Moneim Riad,1,CTA,2004.0,Ibrahim Bek,13.300493311898375,3.0,6333.568243761131,8.0,8.0
CTA_24T,24T,CTA_24T_O,7th District (Nasr City),Darassa-7th District (Nasr City),0,CTA,1382.0,Darassa,13.410983042806196,3.0,6386.182401336284,11.0,11.0
CTA_24T,24T,CTA_24T_R,Darassa,7th District (Nasr City)-Darassa,1,CTA,1382.0,7th District (Nasr City),14.907258649908915,3.0,7098.694595194722,13.0,11.0
CTA_250,250,CTA_250_O,Attaba,Warraq Al Arab-Attaba,0,CTA,3520.0,Warraq Al Arab,12.870087041858842,3.0,6128.612877075639,5.0,4.0
CTA_250,250,CTA_250_R,Warraq Al Arab,Attaba-Warraq Al Arab,1,CTA,3520.0,Attaba,9.993059833251301,3.0,4758.599920595858,4.0,4.0
CTA_26T,26T,CTA_26T_R,Amr Ibn El Aas,Abbasseya-Amr Ibn El Aas,1,CTA,4830.0,Abbasseya,15.271844453248498,3.0,7272.306882499284,4.0,4.0
CTA_26T,26T,CTA_26T_O,Abbasseya,Amr Ibn El Aas-Abbasseya,0,CTA,4830.0,Amr Ibn El Aas,12.98071038057734,3.0,6181.2906574177805,4.0,4.0
CTA_28,28,CTA_28_R,Abd Al Moneim Riad,Om Bayoumi-Abd Al Moneim Riad,1,CTA,3942.0,Om Bayoumi,13.597966845387022,3.0,6475.2223073271525,4.0,4.0
CTA_28,28,CTA_28_O,Om Bayoumi,Abd Al Moneim Riad-Om Bayoumi,0,CTA,3942.0,Abd Al Moneim Riad,14.726715913629361,3.0,7012.721863633029,5.0,4.0
CTA_290,290,CTA_290_O,Massalah Al Gadeeda (Matareya),Ahmed Helmy-Massalah Al Gadeeda (Matareya),0,CTA,1363.0,Ahmed Helmy,14.998938362785694,3.0,7142.351601326521,13.0,12.0
