InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
Cairo University Applied Arts,40001.66072280001,27585.794982599997,28513.082949400003,41473.7914046,11809.51465398,11404.70014658,48940.7547078,20835.0218152,11492.23180304,25559.484532799997,22557.412128,22525.337893,5192.89642186,42462.0622844,8494.57753904,54132.88533180001,11063.10758708,47010.68475380001,22466.771381,24775.9988612
Cairo University Ferry,38021.9451436,25959.8042736,26783.9346406,39260.307585400005,11180.74164508,11692.2181306,46891.350899000005,19829.88071586,12659.40105702,24222.4465632,21347.6505432,20329.9600792,3228.14295814,40600.3021322,10341.45353046,53378.1314254,11379.44999286,44942.6915528,20262.684353599998,23348.5403528
Cairo University Metro,41189.650641199994,29364.820884599994,30321.236766799997,43193.132678400005,11848.2975653,10694.70457034,50221.7725566,22369.068583400003,10096.168345200002,26071.789270400004,24182.552416,24294.8995578,6607.61106836,44296.824357599995,6702.28754104,54036.059429400004,11891.90678698,48321.6456682,24219.9370656,26487.9495092
Daewoo,109203.03527739999,102141.89109360002,103575.50323999999,117101.2269046,78311.46688280001,73540.737945,118629.83388860001,92616.2454368,68925.4964072,89310.8690638,95229.6116018,98699.616989,80554.4161476,117885.12483280001,68521.3341374,96873.9212684,79830.43786860001,117289.8365328,98548.9224006,98431.4068132
Dandy Mall,80537.15647999999,60327.4601786,62153.794750400004,81144.9047994,48985.3625752,45020.3792576,89661.3225356,49976.49864880001,40260.970229800005,63538.7768386,52749.7795584,62108.5418888,46004.7303864,76007.2120652,36455.5528956,85282.8772138,38709.216123800004,87776.29292580001,62227.30301440001,56237.7051714
Dar El Salam,30743.827821,33884.4323892,34007.119283399996,38509.62959619999,1774.59621665,6117.21183362,40192.750332999996,30618.8995898,11100.73696956,12953.8721399,31426.5395522,22498.5566614,10322.0276344,46076.298594199994,14252.72464636,40747.768827,24027.1370608,38571.3713614,22058.214009799998,32452.4507204
Darassa,30339.364455000003,16192.91093504,16316.50954054,27406.5073834,17357.6700844,20698.774944999997,38142.728481,15115.18244572,23639.5100406,23369.450909400002,14959.21465022,8304.3861607,10628.38548776,29091.1099118,22492.8742462,54242.252996,16404.0202603,36020.1642332,8393.83444012,15165.29377818
Dawaran Shubra,40004.9485938,12753.52824346,14162.9068275,33609.1104322,23880.1679026,25706.008951400003,47280.5330444,5796.87880466,26926.143357200002,32903.73683459999,7045.35388964,15999.65818238,14964.18311414,28472.053811,23834.066338999997,63700.161018599996,9972.76637714,45105.3211646,16430.77053542,9391.03032026
Dokki,40238.91274280001,25705.8954756,26709.5956996,40642.85091559999,13458.62983278,13446.51374358,49014.696837999996,18718.711853599998,13625.07523022,26686.5950334,20487.775010799996,21577.160873400004,5619.56316966,40765.7732004,10385.12220268,55739.01729140001,9142.33791364,47038.414672000006,21579.0146682,22787.034286200003
Dolce,101046.2601916,93352.78985739998,94787.9450836,108499.87529060002,69869.4405758,65092.782448399994,110500.5414622,83835.0732668,60413.82083180001,81224.7640038,86444.99879580001,90020.942462,71883.1235244,109097.843896,59859.4112244,90366.849675,71043.2039258,109110.43417739999,89880.38822060001,89643.4422582
El Batran Exit,49163.3789004,45939.883130199996,46791.1367116,56492.5139954,17488.02407344,12712.70883632,58647.64415959999,38864.1254204,8230.64850182,29918.095428400004,40793.9003486,38765.2233422,21017.0689074,60514.3118502,10015.6656402,49601.6721252,27099.4270268,57114.31902080001,38507.198593199995,43139.5008184
El Itihad Square (Maadi),27899.331947799998,37643.561482599995,37511.4189966,38612.591943,7284.71440102,10275.0904749,37369.8705822,35425.42034040001,15046.72423498,8471.63122782,35983.1131574,24752.2678004,15707.90824082,48619.775246599995,19099.19082746,35161.427593,29570.5469512,35955.976768,24206.4530252,36658.228719
El Kafr (Birak Al Khiyam),52170.3607316,34347.0461084,35825.9537726,52530.2239558,22289.481133200003,19668.23438884,61096.6688872,24977.861260799997,16417.58146028,36892.6708098,27508.0703054,33430.8481616,17355.19264172,50132.207637800006,11172.84874994,63454.8776158,12080.37867398,59152.521807000005,33504.3152362,30643.922491400004
El Warsha (Ezbet Al Nakhl),43757.9955674,14161.53478958,13185.37816062,25509.3302312,46520.4244632,49862.9324324,46175.5949856,23567.248932799997,52373.408742800006,48746.5201528,20886.706257799997,25255.4865324,39330.2958512,4972.09847988,50163.5880356,77721.4697362,36255.2534186,44153.617200199995,25878.0330594,17660.02720436
Ezbet Al Nakhl,44082.458607,10777.7216087,10261.81237096,27081.3368514,43931.2678698,47031.323814999996,47327.4697514,19581.10716036,49277.227213,47298.1832616,16958.20148266,23673.0632346,36337.7029818,8382.23595216,46810.804692800004,76917.9885276,32381.523433599996,45234.134247,24333.9686034,13883.42051702
FUE,28782.481576,48424.6528244,46308.7336876,22735.2246774,58291.248677400006,63068.564060599994,20795.5743686,57609.715107,67838.00382,48269.9025542,55246.1531518,41222.312097,57814.384292400006,39215.42630980001,69228.1386628,61678.058021599994,65340.9446378,21092.5892406,41050.738175599996,52136.533322
