InputID,TargetID,Distance
Remaya Square 28,Badr,9013.14708642
Remaya Square 28,Athar an Naby,11334.9051066
Remaya Square 28,Fom El-Khalig,11915.2359143
Remaya Square 28,Imbaba,13061.5298595
Remaya Square 28,Tiba,13960.5869881
Remaya Square 28,El Basatin,15318.7220229
Remaya Square 28,El-Obour,18085.4847724
Remaya Square 28,El Mizalat,19379.5776944
Remaya Square 28,El-Teraa El-,20504.1707833
Remaya Square 28,Nasr,20910.5274436
Remaya Square 28,Fateh,20989.0050633
Remaya Square 28,Port Said,21877.1945295
Remaya Square 28,Al Amiriyyah,23496.8301036
Remaya Square 28,Al Sawah,24060.7277314
Remaya Square 28,Al Mataria,24380.9116962
Remaya Square 28,Al Amal,27440.2562349
Remaya Square 28,Helwan,28285.5085809
Remaya Square 28,Al-Mostaqbal,30224.7412363
Remaya Square 28,Gesr Al Suez,31123.8210078
Remaya Square 28,Maadi,31344.9414054
Remaya Square 28,Cairo,32164.559586
Remaya Square 28,Katameya,34502.34848
Ommal Square,Katameya,2902.16055732
Ommal Square,Maadi,3124.53524363
Ommal Square,Cairo,3307.69921355
Ommal Square,Al Amal,6904.69108261
Ommal Square,Al-Mostaqbal,8271.87545017
Ommal Square,Nasr,15192.9369742
Ommal Square,Fateh,15373.5833124
Ommal Square,El-Obour,16756.2651168
Ommal Square,El Basatin,18247.0646859
Ommal Square,Gesr Al Suez,18708.5042109
Ommal Square,Al Sawah,19864.059868
Ommal Square,Al Mataria,20692.797495
Ommal Square,Al Amiriyyah,20840.5279795
Ommal Square,Athar an Naby,22253.1133103
Ommal Square,Port Said,22361.78558
Ommal Square,Fom El-Khalig,22646.3888249
Ommal Square,El-Teraa El-,23654.0736914
Ommal Square,Helwan,24004.6857359
Ommal Square,Badr,24624.7661475
Ommal Square,El Mizalat,24627.5939658
Ommal Square,Tiba,26700.0128214
Ommal Square,El-Mounib,27073.7824902
Ommal Square,Imbaba,27358.3202652
Ommal Square,Giza,28039.1496823
Basateen (Ring Road),El Basatin,1513.07430838
Basateen (Ring Road),El-Obour,4332.94881559
Basateen (Ring Road),Athar an Naby,5514.22066021
Basateen (Ring Road),Fom El-Khalig,7039.52569753
Basateen (Ring Road),Nasr,7581.16151271
Basateen (Ring Road),Fateh,7883.55293063
Basateen (Ring Road),Badr,7892.93284559
Basateen (Ring Road),El-Mounib,10334.0212783
Basateen (Ring Road),Al Amal,10755.672843
Basateen (Ring Road),Giza,11469.5563255
Basateen (Ring Road),Tiba,13471.7658665
Basateen (Ring Road),Imbaba,13670.3811335
Basateen (Ring Road),Maadi,14551.0092145
Basateen (Ring Road),Al-Mostaqbal,14628.9950007
Basateen (Ring Road),Al Sawah,14700.1747503
Basateen (Ring Road),Port Said,14806.3711204
Basateen (Ring Road),El-Teraa El-,14829.9471242
Basateen (Ring Road),El Mizalat,14864.2879391
Basateen (Ring Road),Al Amiriyyah,14931.5037511
Basateen (Ring Road),Cairo,15415.8510953
Basateen (Ring Road),Al Mataria,15536.4655408
Basateen (Ring Road),Katameya,17726.2934954
Basateen (Ring Road),Gesr Al Suez,19761.2008799
Basateen (Ring Road),Helwan,19769.4912899
Misr 2000,Al-Mostaqbal,5414.30852388
Misr 2000,Katameya,8056.72185868
Misr 2000,Maadi,8058.80503112
Misr 2000,Cairo,8558.89879979
Misr 2000,Al Amal,10862.6410587
Misr 2000,Gesr Al Suez,14548.4828089
Misr 2000,Nasr,14657.3941603
