route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses,InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
CTA_925,925,CTA_925_O,Cairo Airport,Dawaran Shubra-Cairo Airport,0,CTA,1916.0,Dawaran Shubra,28.723167449626327,3.0,13677.698785536348,17.0,17.0,Dawaran Shubra,40004.9485938,12753.52824346,14162.9068275,33609.1104322,23880.1679026,25706.008951400006,47280.5330444,5796.87880466,26926.1433572,32903.736834599986,7045.35388964,15999.65818238,14964.18311414,28472.053811,23834.066339,63700.1610186,9972.76637714,45105.3211646,16430.77053542,9391.03032026
CTA_926-1126,926-1126,CTA_926-1126_R,Al Toub Al Ramly,Bulaq Al Dakrur-Al Toub Al Ramly,1,CTA,6453.0,Bulaq Al Dakrur,28.694603369278394,3.0,13664.09684251352,6.0,6.0,Bulaq Al Dakrur,44286.3315836,27963.2995914,29187.0258972,44469.5401348,16228.46881768,15101.289027899998,53091.354288,19810.13166062,13870.98092776,30166.3025728,21954.848727,25369.0099604,9520.37197112,43431.3793888,9402.54128166,58481.5668464,7996.74225042,51118.728172,25413.6985534,24662.3335972
CTA_926-1126,926-1126,CTA_926-1126_O,Bulaq Al Dakrur,Al Toub Al Ramly-Bulaq Al Dakrur,0,CTA,6453.0,Al Toub Al Ramly,29.189728133134523,3.0,13899.870539587868,6.0,6.0,Al Toub Al Ramly,17260.80837372,22636.363647,20831.3917852,8229.23891542,31084.1570172,35726.2660128,21365.0005812,29764.1750014,40077.1117968,26116.7490932,27843.5981806,11787.40425156,28810.862610400003,23098.1558032,40629.887216,52066.3092944,35992.662177,19167.62467164,11586.48915734,25377.476918
CTA_934-1071,934-1071,CTA_934-1071_R,Masaken Al Wehda,Al Magzar (Mariouteya)-Masaken Al Wehda,1,CTA,7351.0,Al Magzar (Mariouteya),28.43259984929944,3.0,13539.333261571159,5.0,5.0,Al Magzar (Mariouteya),48217.25367119999,44516.6425918,45368.839942,55226.139588,16354.51897034,11579.02620736,57696.59667280001,37466.5984366,6940.21856798,29138.1950504,39384.4279818,37415.011705,19619.32921802,59100.27765599999,8612.30773186,49661.5791228,25767.6048784,56134.50280440001,37164.76203,41720.3170646
CTA_934-1071,934-1071,CTA_934-1071_O,Al Magzar (Mariouteya),Masaken Al Wehda-Al Magzar (Mariouteya),0,CTA,7351.0,Masaken Al Wehda,28.962852807108263,3.0,13791.834670051552,5.0,5.0,Masaken Al Wehda,45794.9104042,8640.97912454,10766.2122617,34670.2872844,34209.555864,36110.84745,51738.2354534,4858.82902476,37160.676322199986,42062.8862708,3745.5577228,21282.9491648,25364.7003418,22939.0746122,33711.2424134,72927.58806719999,17491.59827908,49527.4459698,21913.215071,5146.93666556
CTA_940S,940S,CTA_940S_O,Salam Alexandria,Abd Al Moneim Riad-Salam Alexandria,0,CTA,5494.0,Abd Al Moneim Riad,28.501782823340626,4.0,13572.27753492411,6.0,6.0,Abd Al Moneim Riad,37432.5782256,20081.4912426,21003.4491554,35655.1243402,15753.93422422,17277.107167200003,45741.5251118,14111.48990436,18609.44511154,26608.0047276,15458.11215292,16570.78651098,6670.37681376,35012.8215812,16006.742629299999,56884.9677832,8969.27528212,43674.8728776,16678.88712994,17397.29128852
CTA_940S,940S,CTA_940S_R,Abd Al Moneim Riad,Salam Alexandria-Abd Al Moneim Riad,1,CTA,5494.0,Salam Alexandria,36.199998328240795,4.0,17238.094442019425,8.0,6.0,Salam Alexandria,56081.45603840001,35016.262275199995,33893.7169672,35617.4671346,66287.9569902,69976.541925,55106.5174048,44252.329483,72827.0117544,66101.0257278,41638.7539114,43897.6835494,59735.3679944,20231.497824,70883.1270554,92530.801472,57057.9995724,53561.9129956,44413.4052026,38501.7036996
CTA_945-1082,945-1082,CTA_945-1082_R,Amr Ibn El Aas,Masaken Ain Shams-Amr Ibn El Aas,1,CTA,1935.0,Masaken Ain Shams,31.053782388550548,3.0,14787.515423119308,19.0,18.0,Masaken Ain Shams,42083.43680500001,14396.10141506,13156.70394008,23601.6573502,46006.4668888,49484.5457372,44313.0090966,24220.630471,52160.4236934,47669.1653548,21489.3126508,24332.9875918,39080.3002428,3009.9433774,50137.9879696,76359.2765468,36727.36404,42306.063913,24933.431742400004,18141.23670674
CTA_945-1082,945-1082,CTA_945-1082_O,Masaken Ain Shams,Amr Ibn El Aas-Masaken Ain Shams,0,CTA,1935.0,Amr Ibn El Aas,30.0011262115067,5.0,14286.250576907953,18.0,18.0,Amr Ibn El Aas,33366.0556282,28669.3485782,29076.140898400005,37457.7205982,5355.69701738,7745.50548552,42542.47412280001,24366.5367238,11032.54863816,18173.69189288,25400.3138058,19539.12045774,3751.45388874,42038.4918984,11529.47230224,47224.10740440001,17498.03433354,40710.4031874,19266.2414286,26772.7430554
CTA_948,948,CTA_948_R,Cairo Airport,Attaba-Cairo Airport,1,CTA,5578.0,Attaba,26.63728148012633,3.0,12684.419752441108,6.0,6.0,Attaba,34511.697608800016,17288.23908322,17948.97745304,31821.0299886,16721.6888519,19151.62111138,42536.9015672,13235.44307628,21253.7930914,25526.2489486,13914.05075856,12763.78679892,8327.3343983,31662.0126298,19273.81255288,56249.882807,11927.7070081,40433.951638,12905.97519264,15171.93091102
